H 6-31G*
S   3
  1     18.7311370              0.03349460       
  2      2.8253937              0.23472695       
  3      0.6401217              0.81375733       
S   1
  1      0.1612778              1.0000000        

C 6-31G*
S   6
  1   3047.5249000              0.0018347        
  2    457.3695100              0.0140373        
  3    103.9486900              0.0688426        
  4     29.2101550              0.2321844        
  5      9.2866630              0.4679413        
  6      3.1639270              0.3623120        
S   3
  1      7.8682724              0.0689991        
  2      1.8812885              0.3164240        
  3      0.5442493              0.7443083        
P   3
  1      7.8682724              0.0689991        
  2      1.8812885              0.3164240        
  3      0.5442493              0.7443083        
S   1
  1      0.1687144              1.0000000
P   1
  1      0.1687144              1.0000000
D   1
  1      0.8000000              1.0000000        

H cc-pvdz
S   3
  1     13.0100000              0.0196850        
  2      1.9620000              0.1379770        
  3      0.4446000              0.4781480        
S   1
  1      0.1220000              1.0000000        
P   1
  1      0.7270000              1.0000000        

C cc-pvdz
S   8
  1   6665.0000000              0.0006920        
  2   1000.0000000              0.0053290        
  3    228.0000000              0.0270770        
  4     64.7100000              0.1017180        
  5     21.0600000              0.2747400        
  6      7.4950000              0.4485640        
  7      2.7970000              0.2850740        
  8      0.5215000              0.0152040        
S   8
  1   6665.0000000             -0.0001460        
  2   1000.0000000             -0.0011540        
  3    228.0000000             -0.0057250        
  4     64.7100000             -0.0233120        
  5     21.0600000             -0.0639550        
  6      7.4950000             -0.1499810        
  7      2.7970000             -0.1272620        
  8      0.5215000              0.5445290        
S   1
  1      0.1596000              1.0000000        
P   3
  1      9.4390000              0.0381090        
  2      2.0020000              0.2094800        
  3      0.5456000              0.5085570        
P   1
  1      0.1517000              1.0000000        
D   1
  1      0.5500000              1.0000000

C ANO1
S   10
  1     5240.63530000         0.00093706
  2      782.20479000         0.00722866
  3      178.35083000         0.03634370
  4       50.81594200         0.13062888
  5       16.82356200         0.31889851
  6        6.17577600         0.43907941
  7        2.41804900         0.21447737
  8        0.51190000         0.00952912
  9        0.15659000        -0.00242230
 10        0.05480600         0.00085927
S   10
  1     5240.63530000        -0.00020140
  2      782.20479000        -0.00159130
  3      178.35083000        -0.00785790
  4       50.81594200        -0.03078560
  5       16.82356200        -0.07776050
  6        6.17577600        -0.16547980
  7        2.41804900        -0.09353160
  8        0.51190000         0.59106791
  9        0.15659000         0.51017985
 10        0.05480600         0.03602095
S   10
  1     5240.63530000         0.00018948
  2      782.20479000         0.00159917
  3      178.35083000         0.00715871
  4       50.81594200         0.03255102
  5       16.82356200         0.06671215
  6        6.17577600         0.21071467
  7        2.41804900         0.01606341
  8        0.51190000        -1.20608100
  9        0.15659000         0.62359190
 10        0.05480600         0.67555378
P    6
  1       18.84180000         0.01363248
  2        4.15924000         0.08381053
  3        1.20671000         0.28579195
  4        0.38554000         0.48641620
  5        0.12194000         0.31476417
  6        0.04267900         0.09093437
P    6
  1       18.84180000        -0.01270120
  2        4.15924000        -0.06726640
  3        1.20671000        -0.34042310
  4        0.38554000        -0.37477750
  5        0.12194000         0.42284056
  6        0.04267900         0.64283912
D    3
  1        1.28380000         0.32087885
  2        0.34400000         0.72331373
  3        0.09220000         0.15721381

N ANO1
S   10
  1        8104.0716000        0.00081008
  2        1216.0215000	       0.00607657
  3         277.2342800	       0.03209526
  4          76.9040230	       0.11750256
  5          25.8744190	       0.29374741
  6           9.3467670	       0.45125423
  7           3.5797940	       0.24259813
  8           0.7396100	       0.01346262
  9           0.2226170	      -0.00381180
 10           0.0779160	       0.00138764
S   10
  1        8104.0716000       -0.00017930
  2        1216.0215000	      -0.00137980
  3         277.2342800	      -0.00713320
  4          76.9040230	      -0.02849610
  5          25.8744190	      -0.07289330
  6           9.3467670	      -0.16846320
  7           3.5797940	      -0.10488130
  8           0.7396100	       0.58177231
  9           0.2226170	       0.52102389
 10           0.0779160	       0.03664056
S   10
  1        8104.0716000        0.00017387
  2        1216.0215000	       0.00144815
  3         277.2342800	       0.00667279
  4          76.9040230	       0.03158098
  5          25.8744190	       0.06343753
  6           9.3467670	       0.22203197
  7           3.5797940	       0.03023657
  8           0.7396100	      -1.25248200
  9           0.2226170	       0.70444158
 10           0.0779160	       0.61000653
P   6
  1          26.8689870        0.01442171
  2           5.9912270	       0.09084742
  3           1.7508420	       0.29779552
